YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Total,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,UT,Utah,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.2,3.2,,,2.8,3.6,Total,"(39.360700171, -111.587130635)",PA,PA1,Q042,VALUE,49,Total,Total,OVR,OVERALL
2011,2011,VA,Virginia,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.6,2.6,,,2.3,2.9,Total,"(37.542680674, -78.457890463)",PA,PA1,Q042,VALUE,51,Total,Total,OVR,OVERALL
2011,2011,VT,Vermont,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,7.1,7.1,,,6.2,8.0,Total,"(43.625381239, -72.517640791)",PA,PA1,Q042,VALUE,50,Total,Total,OVR,OVERALL
2011,2011,WA,Washington,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.2,4.2,,,3.9,4.5,Total,"(47.522278629, -120.47001079)",PA,PA1,Q042,VALUE,53,Total,Total,OVR,OVERALL
2011,2011,WI,Wisconsin,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.1,4.1,,,3.8,4.4,Total,"(44.393191174, -89.816370742)",PA,PA1,Q042,VALUE,55,Total,Total,OVR,OVERALL
2011,2011,WV,West Virginia,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.8,2.8,,,2.4,3.2,Total,"(38.665510202, -80.712640135)",PA,PA1,Q042,VALUE,54,Total,Total,OVR,OVERALL
2011,2011,WY,Wyoming,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.4,4.4,,,3.6,5.2,Total,"(43.235541343, -108.109830353)",PA,PA1,Q042,VALUE,56,Total,Total,OVR,OVERALL
2012,2012,AK,Alaska,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,8.5,8.5,,,7.6,9.4,Total,"(64.845079957001, -147.722059036)",PA,PA1,Q042,VALUE,02,Total,Total,OVR,OVERALL
2012,2012,AL,Alabama,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.3,1.3,,,1.1,1.5,Total,"(32.840571122, -86.631860762)",PA,PA1,Q042,VALUE,01,Total,Total,OVR,OVERALL
2012,2012,AR,Arkansas,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.7,1.7,,,1.4,2.0,Total,"(34.748650124, -92.274490743)",PA,PA1,Q042,VALUE,05,Total,Total,OVR,OVERALL
2012,2012,AZ,Arizona,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.9,2.9,,,2.6,3.2,Total,"(34.86597028, -111.763811277)",PA,PA1,Q042,VALUE,04,Total,Total,OVR,OVERALL
2012,2012,CA,California,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.8,3.8,,,3.6,4.0,Total,"(37.638640123, -120.999999538)",PA,PA1,Q042,VALUE,06,Total,Total,OVR,OVERALL
2012,2012,CO,Colorado,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.9,4.9,,,4.6,5.2,Total,"(38.843840757, -106.133610921)",PA,PA1,Q042,VALUE,08,Total,Total,OVR,OVERALL
2012,2012,CT,Connecticut,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.3,3.3,,,3.0,3.6,Total,"(41.56266102, -72.649840952)",PA,PA1,Q042,VALUE,09,Total,Total,OVR,OVERALL
2012,2012,DC,District of Columbia,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,16.0,16.0,,,14.4,17.6,Total,"(38.890371385, -77.031961127)",PA,PA1,Q042,VALUE,11,Total,Total,OVR,OVERALL
2012,2012,DE,Delaware,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.6,2.6,,,2.1,3.1,Total,"(39.008830667, -75.577741168)",PA,PA1,Q042,VALUE,10,Total,Total,OVR,OVERALL
2012,2012,FL,Florida,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.3,2.3,,,2.1,2.5,Total,"(28.932040377, -81.928960539)",PA,PA1,Q042,VALUE,12,Total,Total,OVR,OVERALL
2012,2012,GA,Georgia,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.9,1.9,,,1.7,2.1,Total,"(32.839681093, -83.627580346)",PA,PA1,Q042,VALUE,13,Total,Total,OVR,OVERALL
2012,2012,HI,Hawaii,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,5.9,5.9,,,5.4,6.4,Total,"(21.304850435, -157.857749403)",PA,PA1,Q042,VALUE,15,Total,Total,OVR,OVERALL
2012,2012,IA,Iowa,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.1,4.1,,,3.8,4.4,Total,"(42.469400913, -93.816490556)",PA,PA1,Q042,VALUE,19,Total,Total,OVR,OVERALL
2012,2012,ID,Idaho,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.9,3.9,,,3.5,4.3,Total,"(43.682630005, -114.363730042)",PA,PA1,Q042,VALUE,16,Total,Total,OVR,OVERALL
2012,2012,IL,Illinois,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.8,3.8,,,3.6,4.0,Total,"(40.485010283, -88.997710178)",PA,PA1,Q042,VALUE,17,Total,Total,OVR,OVERALL
2012,2012,IN,Indiana,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.7,2.7,,,2.5,2.9,Total,"(39.766910452, -86.149960194)",PA,PA1,Q042,VALUE,18,Total,Total,OVR,OVERALL
2012,2012,KS,Kansas,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.5,2.5,,,2.2,2.8,Total,"(38.3477403, -98.200781227)",PA,PA1,Q042,VALUE,20,Total,Total,OVR,OVERALL
2012,2012,KY,Kentucky,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.5,2.5,,,2.2,2.8,Total,"(37.645970271, -84.774971048)",PA,PA1,Q042,VALUE,21,Total,Total,OVR,OVERALL
2012,2012,LA,Louisiana,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.3,2.3,,,2.1,2.5,Total,"(31.312660644, -92.445680071)",PA,PA1,Q042,VALUE,22,Total,Total,OVR,OVERALL
2012,2012,MA,Massachusetts,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,5.7,5.7,,,5.4,6.0,Total,"(42.27687047, -72.082690675)",PA,PA1,Q042,VALUE,25,Total,Total,OVR,OVERALL
2012,2012,MD,Maryland,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.9,2.9,,,2.7,3.1,Total,"(39.290580964, -76.609260111)",PA,PA1,Q042,VALUE,24,Total,Total,OVR,OVERALL
2012,2012,ME,Maine,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.7,4.7,,,4.3,5.1,Total,"(45.254228894001, -68.985031336)",PA,PA1,Q042,VALUE,23,Total,Total,OVR,OVERALL
2012,2012,MI,Michigan,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.7,2.7,,,2.5,2.9,Total,"(44.661319543001, -84.71439027)",PA,PA1,Q042,VALUE,26,Total,Total,OVR,OVERALL
2012,2012,MN,Minnesota,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.6,3.6,,,3.4,3.8,Total,"(46.355648736, -94.794200503)",PA,PA1,Q042,VALUE,27,Total,Total,OVR,OVERALL
2012,2012,MO,Missouri,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.2,2.2,,,2.0,2.4,Total,"(38.635790776, -92.566300053)",PA,PA1,Q042,VALUE,29,Total,Total,OVR,OVERALL
2012,2012,MS,Mississippi,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.8,1.8,,,1.5,2.1,Total,"(32.745510099, -89.538030825)",PA,PA1,Q042,VALUE,28,Total,Total,OVR,OVERALL
2012,2012,MT,Montana,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,6.4,6.4,,,5.7,7.1,Total,"(47.066528972, -109.424420645)",PA,PA1,Q042,VALUE,30,Total,Total,OVR,OVERALL
2012,2012,NC,North Carolina,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.2,2.2,,,2.0,2.4,Total,"(35.466220975, -79.159250463)",PA,PA1,Q042,VALUE,37,Total,Total,OVR,OVERALL
2012,2012,ND,North Dakota,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.2,4.2,,,3.6,4.8,Total,"(47.475319779, -100.118421049)",PA,PA1,Q042,VALUE,38,Total,Total,OVR,OVERALL
2012,2012,NE,Nebraska,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.5,3.5,,,3.2,3.8,Total,"(41.641040988001, -99.365720623)",PA,PA1,Q042,VALUE,31,Total,Total,OVR,OVERALL
2012,2012,NH,New Hampshire,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.4,3.4,,,3.0,3.8,Total,"(43.655950113, -71.50036092)",PA,PA1,Q042,VALUE,33,Total,Total,OVR,OVERALL
2012,2012,NJ,New Jersey,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.4,3.4,,,3.2,3.6,Total,"(40.130570048, -74.273691288)",PA,PA1,Q042,VALUE,34,Total,Total,OVR,OVERALL
2012,2012,NM,New Mexico,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.8,2.8,,,2.5,3.1,Total,"(34.520880952, -106.240580985)",PA,PA1,Q042,VALUE,35,Total,Total,OVR,OVERALL
2012,2012,NV,Nevada,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.7,2.7,,,2.4,3.0,Total,"(39.49324039, -117.071840564)",PA,PA1,Q042,VALUE,32,Total,Total,OVR,OVERALL
2012,2012,NY,New York,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,7.0,7.0,,,6.7,7.3,Total,"(42.827001032, -75.543970427)",PA,PA1,Q042,VALUE,36,Total,Total,OVR,OVERALL
2012,2012,OH,Ohio,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.7,2.7,,,2.5,2.9,Total,"(40.060210141, -82.404260056)",PA,PA1,Q042,VALUE,39,Total,Total,OVR,OVERALL
2012,2012,OK,Oklahoma,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.2,2.2,,,1.9,2.5,Total,"(35.472031356, -97.521070214)",PA,PA1,Q042,VALUE,40,Total,Total,OVR,OVERALL
2012,2012,OR,Oregon,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,7.1,7.1,,,6.6,7.6,Total,"(44.567449424, -120.155031326)",PA,PA1,Q042,VALUE,41,Total,Total,OVR,OVERALL
2012,2012,PA,Pennsylvania,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.3,4.3,,,4.1,4.5,Total,"(40.793730152, -77.860700294)",PA,PA1,Q042,VALUE,42,Total,Total,OVR,OVERALL
2012,2012,PR,Puerto Rico,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.3,3.3,,,2.9,3.7,Total,"(18.220833, -66.590149)",PA,PA1,Q042,VALUE,72,Total,Total,OVR,OVERALL
2012,2012,RI,Rhode Island,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.0,4.0,,,3.6,4.4,Total,"(41.708280193, -71.522470314)",PA,PA1,Q042,VALUE,44,Total,Total,OVR,OVERALL
2012,2012,SC,South Carolina,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.6,2.6,,,2.4,2.8,Total,"(33.998821303, -81.045371207)",PA,PA1,Q042,VALUE,45,Total,Total,OVR,OVERALL
2012,2012,SD,South Dakota,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.7,4.7,,,4.1,5.3,Total,"(44.353130053, -100.373530637)",PA,PA1,Q042,VALUE,46,Total,Total,OVR,OVERALL
2012,2012,TN,Tennessee,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.4,1.4,,,1.2,1.6,Total,"(35.68094058, -85.774490914)",PA,PA1,Q042,VALUE,47,Total,Total,OVR,OVERALL
2012,2012,TX,Texas,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.9,1.9,,,1.7,2.1,Total,"(31.827240407, -99.426770206)",PA,PA1,Q042,VALUE,48,Total,Total,OVR,OVERALL
2012,2012,US,National,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.4,3.4,,,3.2,3.6,Total,,PA,PA1,Q042,VALUE,59,Total,Total,OVR,OVERALL
2012,2012,UT,Utah,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.6,3.6,,,3.3,3.9,Total,"(39.360700171, -111.587130635)",PA,PA1,Q042,VALUE,49,Total,Total,OVR,OVERALL
2012,2012,VA,Virginia,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.6,2.6,,,2.4,2.8,Total,"(37.542680674, -78.457890463)",PA,PA1,Q042,VALUE,51,Total,Total,OVR,OVERALL
2012,2012,VT,Vermont,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,7.1,7.1,,,6.3,7.9,Total,"(43.625381239, -72.517640791)",PA,PA1,Q042,VALUE,50,Total,Total,OVR,OVERALL
2012,2012,WA,Washington,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.5,4.5,,,4.2,4.8,Total,"(47.522278629, -120.47001079)",PA,PA1,Q042,VALUE,53,Total,Total,OVR,OVERALL
2012,2012,WI,Wisconsin,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.2,4.2,,,4.0,4.4,Total,"(44.393191174, -89.816370742)",PA,PA1,Q042,VALUE,55,Total,Total,OVR,OVERALL
2012,2012,WV,West Virginia,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.3,3.3,,,2.9,3.7,Total,"(38.665510202, -80.712640135)",PA,PA1,Q042,VALUE,54,Total,Total,OVR,OVERALL
2012,2012,WY,Wyoming,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.4,4.4,,,3.5,5.3,Total,"(43.235541343, -108.109830353)",PA,PA1,Q042,VALUE,56,Total,Total,OVR,OVERALL
2013,2013,AK,Alaska,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,9.8,9.8,,,8.8,10.8,Total,"(64.845079957001, -147.722059036)",PA,PA1,Q042,VALUE,02,Total,Total,OVR,OVERALL
2013,2013,AL,Alabama,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.1,1.1,,,0.9,1.3,Total,"(32.840571122, -86.631860762)",PA,PA1,Q042,VALUE,01,Total,Total,OVR,OVERALL
2013,2013,AR,Arkansas,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.9,1.9,,,1.6,2.2,Total,"(34.748650124, -92.274490743)",PA,PA1,Q042,VALUE,05,Total,Total,OVR,OVERALL
2013,2013,AZ,Arizona,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.1,3.1,,,2.8,3.4,Total,"(34.86597028, -111.763811277)",PA,PA1,Q042,VALUE,04,Total,Total,OVR,OVERALL
2013,2013,CA,California,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.8,3.8,,,3.6,4.0,Total,"(37.638640123, -120.999999538)",PA,PA1,Q042,VALUE,06,Total,Total,OVR,OVERALL
2013,2013,CO,Colorado,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.2,4.2,,,3.9,4.5,Total,"(38.843840757, -106.133610921)",PA,PA1,Q042,VALUE,08,Total,Total,OVR,OVERALL
2013,2013,CT,Connecticut,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.4,3.4,,,3.1,3.7,Total,"(41.56266102, -72.649840952)",PA,PA1,Q042,VALUE,09,Total,Total,OVR,OVERALL
2013,2013,DC,District of Columbia,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,18.1,18.1,,,16.6,19.6,Total,"(38.890371385, -77.031961127)",PA,PA1,Q042,VALUE,11,Total,Total,OVR,OVERALL
2013,2013,DE,Delaware,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.5,2.5,,,2.0,3.0,Total,"(39.008830667, -75.577741168)",PA,PA1,Q042,VALUE,10,Total,Total,OVR,OVERALL
2013,2013,FL,Florida,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.2,2.2,,,2.0,2.4,Total,"(28.932040377, -81.928960539)",PA,PA1,Q042,VALUE,12,Total,Total,OVR,OVERALL
2013,2013,GA,Georgia,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.7,1.7,,,1.5,1.9,Total,"(32.839681093, -83.627580346)",PA,PA1,Q042,VALUE,13,Total,Total,OVR,OVERALL
2013,2013,HI,Hawaii,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,5.5,5.5,,,5.0,6.0,Total,"(21.304850435, -157.857749403)",PA,PA1,Q042,VALUE,15,Total,Total,OVR,OVERALL
2013,2013,IA,Iowa,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.3,4.3,,,4.0,4.6,Total,"(42.469400913, -93.816490556)",PA,PA1,Q042,VALUE,19,Total,Total,OVR,OVERALL
2013,2013,ID,Idaho,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.1,4.1,,,3.7,4.5,Total,"(43.682630005, -114.363730042)",PA,PA1,Q042,VALUE,16,Total,Total,OVR,OVERALL
2013,2013,IL,Illinois,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.7,3.7,,,3.5,3.9,Total,"(40.485010283, -88.997710178)",PA,PA1,Q042,VALUE,17,Total,Total,OVR,OVERALL
2013,2013,IN,Indiana,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.5,2.5,,,2.3,2.7,Total,"(39.766910452, -86.149960194)",PA,PA1,Q042,VALUE,18,Total,Total,OVR,OVERALL
2013,2013,KS,Kansas,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.9,2.9,,,2.6,3.2,Total,"(38.3477403, -98.200781227)",PA,PA1,Q042,VALUE,20,Total,Total,OVR,OVERALL
2013,2013,KY,Kentucky,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.5,2.5,,,2.2,2.8,Total,"(37.645970271, -84.774971048)",PA,PA1,Q042,VALUE,21,Total,Total,OVR,OVERALL
2013,2013,LA,Louisiana,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.3,2.3,,,2.0,2.6,Total,"(31.312660644, -92.445680071)",PA,PA1,Q042,VALUE,22,Total,Total,OVR,OVERALL
2013,2013,MA,Massachusetts,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,5.6,5.6,,,5.3,5.9,Total,"(42.27687047, -72.082690675)",PA,PA1,Q042,VALUE,25,Total,Total,OVR,OVERALL
2013,2013,MD,Maryland,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.7,2.7,,,2.4,3.0,Total,"(39.290580964, -76.609260111)",PA,PA1,Q042,VALUE,24,Total,Total,OVR,OVERALL
2013,2013,ME,Maine,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.4,4.4,,,3.9,4.9,Total,"(45.254228894001, -68.985031336)",PA,PA1,Q042,VALUE,23,Total,Total,OVR,OVERALL
2013,2013,MI,Michigan,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.7,2.7,,,2.5,2.9,Total,"(44.661319543001, -84.71439027)",PA,PA1,Q042,VALUE,26,Total,Total,OVR,OVERALL
2013,2013,MN,Minnesota,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.7,3.7,,,3.4,4.0,Total,"(46.355648736, -94.794200503)",PA,PA1,Q042,VALUE,27,Total,Total,OVR,OVERALL
2013,2013,MO,Missouri,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.3,2.3,,,2.1,2.5,Total,"(38.635790776, -92.566300053)",PA,PA1,Q042,VALUE,29,Total,Total,OVR,OVERALL
2013,2013,MS,Mississippi,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,1.6,1.6,,,1.3,1.9,Total,"(32.745510099, -89.538030825)",PA,PA1,Q042,VALUE,28,Total,Total,OVR,OVERALL
2013,2013,MT,Montana,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,6.8,6.8,,,6.1,7.5,Total,"(47.066528972, -109.424420645)",PA,PA1,Q042,VALUE,30,Total,Total,OVR,OVERALL
2013,2013,NC,North Carolina,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.1,2.1,,,1.9,2.3,Total,"(35.466220975, -79.159250463)",PA,PA1,Q042,VALUE,37,Total,Total,OVR,OVERALL
2013,2013,ND,North Dakota,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,5.0,5.0,,,4.4,5.6,Total,"(47.475319779, -100.118421049)",PA,PA1,Q042,VALUE,38,Total,Total,OVR,OVERALL
2013,2013,NE,Nebraska,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.2,3.2,,,2.9,3.5,Total,"(41.641040988001, -99.365720623)",PA,PA1,Q042,VALUE,31,Total,Total,OVR,OVERALL
2013,2013,NH,New Hampshire,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.3,3.3,,,2.8,3.8,Total,"(43.655950113, -71.50036092)",PA,PA1,Q042,VALUE,33,Total,Total,OVR,OVERALL
2013,2013,NJ,New Jersey,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.3,3.3,,,3.1,3.5,Total,"(40.130570048, -74.273691288)",PA,PA1,Q042,VALUE,34,Total,Total,OVR,OVERALL
2013,2013,NM,New Mexico,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.2,3.2,,,2.8,3.6,Total,"(34.520880952, -106.240580985)",PA,PA1,Q042,VALUE,35,Total,Total,OVR,OVERALL
2013,2013,NV,Nevada,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.6,2.6,,,2.2,3.0,Total,"(39.49324039, -117.071840564)",PA,PA1,Q042,VALUE,32,Total,Total,OVR,OVERALL
2013,2013,NY,New York,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,7.1,7.1,,,6.8,7.4,Total,"(42.827001032, -75.543970427)",PA,PA1,Q042,VALUE,36,Total,Total,OVR,OVERALL
2013,2013,OH,Ohio,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.5,2.5,,,2.3,2.7,Total,"(40.060210141, -82.404260056)",PA,PA1,Q042,VALUE,39,Total,Total,OVR,OVERALL
2013,2013,OK,Oklahoma,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,2.0,2.0,,,1.7,2.3,Total,"(35.472031356, -97.521070214)",PA,PA1,Q042,VALUE,40,Total,Total,OVR,OVERALL
2013,2013,OR,Oregon,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,6.4,6.4,,,6.0,6.8,Total,"(44.567449424, -120.155031326)",PA,PA1,Q042,VALUE,41,Total,Total,OVR,OVERALL
2013,2013,PA,Pennsylvania,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.4,4.4,,,4.2,4.6,Total,"(40.793730152, -77.860700294)",PA,PA1,Q042,VALUE,42,Total,Total,OVR,OVERALL
2013,2013,PR,Puerto Rico,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,3.4,3.4,,,3.0,3.8,Total,"(18.220833, -66.590149)",PA,PA1,Q042,VALUE,72,Total,Total,OVR,OVERALL
2013,2013,RI,Rhode Island,ACS,Physical Activity,Physical Activity - Behavior,Percent of adults in the state who usually biked or walked to work in the last week,,Value,4.6,4.6,,,4.0,5.2,Total,"(41.708280193, -71.522470314)",PA,PA1,Q042,VALUE,44,Total,Total,OVR,OVERALL
