"Survey.Years","Sex","Age.Group","Measure","Percent","Standard.Error","Lower.95..CI.Limit","Upper.95..CI.Limit"
"2001-2002","Female","12-19","High Total Cholesterol",5.2,5.42,-1.12642272533849,11.5992655186448
"1999-2000","Male","2-5","Hypertension",47.3,4.16,44.490916184918,49.8125895813107
"1999-2000","Female","2-5","Obesity",78.3,5.13,72.4551733891247,80.2397283588769
"2007-2008","Male","30-39","High Total Cholesterol",29.2,1.64,24.8153902696678,31.4823459934443
"2001-2002","Male","2-5","Obesity",56.9,6.03,49.5458384419093,58.7312281055842
"2001-2002","Female","60-69","Hypertension",52.2,1.9,48.7928176660091,56.8924202037044
"2003-2004","Male","12-19","Hypertension",42,6.76,36.861937893671,46.8703293415019
"2007-2008","Female","20-29","Hypertension",85,1.14,83.3143689850112,86.7164935844485
"2009-2010","Male","60-69","Hypertension",36.5,5.96,31.3347659645369,42.4495167667046
"2017-2018","Female","12-19","High Total Cholesterol",33,1.13,27.7839178419672,40.4999526134925
"2003-2004","Male","50-59","Hypertension",85.1,1.48,77.5227829613956,86.6619232171448
"2003-2004","Female","30-39","Obesity",11,1.9,5.12014260352589,17.4903329267399
"1999-2000","Female","2-5","Obesity",80,4.43,74.8317676543957,81.7859128206037
"2013-2014","Male","30-39","Hypertension",29,5.1,26.3959460898768,36.1105159290601
"1999-2000","Female","6-11","Hypertension",16.7,2.91,10.309043418197,22.2356634492055
"2005-2006","Female","70 and over","Obesity",12.7,4.19,9.22341597317718,17.3558021589881
"2013-2014","Male","50-59","Obesity",10.1,3.98,4.14106049973052,16.8840261098463
"2017-2018","Male","20-29","Hypertension",23.2,2.71,20.9056058795424,30.2528985338751
"2017-2018","Male","20-29","High Total Cholesterol",77.9,6.24,73.2652832146036,81.6855659044581
"2013-2014","Male","12-19","Obesity",38.9,6.71,36.8357059139293,44.4910205933033
"2011-2012","Male","20-29","High Total Cholesterol",65,4.76,61.5734635317931,72.2525801315205
"2001-2002","Female","2-5","Hypertension",83.9,2.49,81.5582643573638,90.8942757149693
"1999-2000","Female","20-29","Hypertension",29.5,4.43,25.6089621752035,32.7529085671995
"2005-2006","Male","12-19","Obesity",67.3,5.12,62.7376895768801,70.3953474476701
"2015-2016","Male","50-59","Obesity",59.9,3.67,58.2331061759964,64.21973058125
"2007-2008","Male","50-59","Hypertension",29.5,4.91,25.1612709257752,32.7078386904905
"2013-2014","Female","50-59","High Total Cholesterol",4.9,5.08,-2.44646063845139,12.3244297900004
"2001-2002","Male","30-39","High Total Cholesterol",36.2,6.58,33.2300654743332,42.1857455242891
"2007-2008","Male","40-49","Obesity",25,1.33,23.140265788883,29.5387458231999
"2001-2002","Female","30-39","Hypertension",49.3,6.49,45.7528119618772,51.6904102712404
"2009-2010","Female","30-39","Obesity",61.1,2.86,57.7971563363913,65.9170846968424
"2017-2018","Female","70 and over","Hypertension",28.4,6.28,23.8232442361535,36.2243454501498
"2017-2018","Male","2-5","Hypertension",44,7.13,40.1888084911043,46.6966144257458
"2015-2016","Male","30-39","High Total Cholesterol",36,1.99,30.1408958177781,41.354092339403
"2011-2012","Male","20-29","Obesity",11.7,5.62,4.4409980208613,16.6236368951388
"2009-2010","Female","50-59","Hypertension",18.5,4.38,14.2978658261709,24.9082842018688
"2003-2004","Male","2-5","High Total Cholesterol",76.5,1.68,71.6000695163384,79.6880604882026
"2013-2014","Female","70 and over","Obesity",44.1,2.4,40.4018584748497,49.6141210593283
"2011-2012","Male","40-49","Obesity",79.4,1.27,72.5214272318175,81.1338348417543
"2005-2006","Male","50-59","Hypertension",76.2,1,73.634333192301,83.9340486058965
"2013-2014","Female","50-59","High Total Cholesterol",18.1,1.68,14.1021126060747,20.6783544684527
"2003-2004","Female","50-59","Hypertension",66,4.87,60.0889207591536,69.5077789569041
"2013-2014","Female","70 and over","Hypertension",40.1,5.53,32.4076089915121,44.2369774900377
"2009-2010","Male","20-29","High Total Cholesterol",53.9,4.97,50.9014697316801,58.3226362563204
"2005-2006","Female","12-19","High Total Cholesterol",69.8,5.17,63.8353445605142,74.9724315955071
"2011-2012","Female","70 and over","Obesity",83.5,1.15,81.4412616689224,88.5982149157207
"2017-2018","Female","50-59","Obesity",73.1,2.49,66.9985740361968,80.1721109564183
"2013-2014","Female","2-5","Hypertension",84.9,7.15,77.3785911256913,89.1733940620674
"2005-2006","Male","20-29","High Total Cholesterol",29,2.99,22.2356444352772,33.8498993333196
"2017-2018","Female","70 and over","Hypertension",3.1,1.6,0.462152695772238,8.04453420769423
"2015-2016","Female","2-5","High Total Cholesterol",19.5,6.35,17.5505948608043,23.9205101151019
"2009-2010","Male","30-39","Obesity",67.7,6.42,62.6040925049922,71.3223340115976
"2003-2004","Female","2-5","Obesity",58.2,3.16,53.4772895928938,65.3268264207756
"2005-2006","Female","50-59","High Total Cholesterol",47,5.27,40.1267270997632,53.7655494338833
"2015-2016","Female","30-39","Hypertension",5.4,3.84,0.0982027456397194,13.3488684813259
"2015-2016","Female","2-5","High Total Cholesterol",8.3,1.56,2.40227126302198,12.6137365428265
"2005-2006","Male","60-69","Obesity",17.9,4.96,14.9594618460163,22.4287185078487
"2005-2006","Male","2-5","Hypertension",89.5,6.27,85.9057951803552,94.1164741883986
"2009-2010","Male","20-29","Obesity",70.9,3.49,66.11844113525,78.1238923802506
"2007-2008","Female","50-59","Obesity",48.4,3.62,40.7677708011819,53.2495997937862
"1999-2000","Male","12-19","Hypertension",6.8,2.12,3.77022451739758,12.7627780814189
"2013-2014","Male","50-59","Hypertension",26.5,1.05,23.2447550198995,29.1498419386335
"2011-2012","Female","30-39","Hypertension",13,2.88,7.68472054123413,17.5529931553174
"2007-2008","Female","40-49","High Total Cholesterol",65.9,2.08,63.9358466722537,71.8608954658033
"2009-2010","Male","40-49","Obesity",38.2,1.48,36.4585601623869,39.8779251768021
"2003-2004","Male","12-19","High Total Cholesterol",80.1,4.48,73.7790665884037,83.8928717482137
"2013-2014","Male","50-59","Obesity",36.2,5.26,30.7223136885325,38.7831203002017
"2017-2018","Female","12-19","Hypertension",40.2,2.79,33.8052304952173,45.5128521965118
"2007-2008","Female","30-39","High Total Cholesterol",6.5,6.86,3.29505591548514,9.87753276305739
"2011-2012","Female","20-29","Hypertension",42.1,2.21,35.3656428432092,47.0940169748152
"2005-2006","Male","12-19","Obesity",63.4,4.68,56.5295578312129,65.7674567017006
"2015-2016","Female","20-29","High Total Cholesterol",73.3,5.18,70.5981798942201,78.9781763563631
"2003-2004","Female","60-69","Hypertension",16.4,6.04,14.742430310091,18.6980058703106
"2017-2018","Female","20-29","Obesity",51.1,3.59,47.392354977224,56.893925484526
"2011-2012","Female","2-5","Hypertension",41,2.3,36.1397909041261,44.7088989224285
"2001-2002","Female","70 and over","Hypertension",66.4,4.43,58.4324573804392,71.9117683501449
"2015-2016","Female","70 and over","Obesity",39.7,3.61,35.5182209165534,46.5912525562337
"2009-2010","Female","30-39","High Total Cholesterol",42.1,4.45,37.9697206210345,48.7947636815021
"2005-2006","Male","30-39","High Total Cholesterol",68.9,3.62,62.0275844192132,71.5618048930541
"2009-2010","Male","50-59","Hypertension",24.4,7.12,17.4526555746328,27.6240772382356
"2001-2002","Male","30-39","Hypertension",44.2,1.03,42.3291609575273,49.2557310840813
"2001-2002","Male","60-69","Hypertension",22.8,2.79,18.3187356914394,26.4805021236651
"2013-2014","Male","40-49","High Total Cholesterol",41.9,4.25,38.5046322936891,46.1272071560146
"2013-2014","Female","2-5","Obesity",81.6,5.22,78.0842526604189,87.3942300107097
"2007-2008","Male","40-49","Hypertension",85.7,5.29,79.2487892109668,92.309911032021
"2015-2016","Male","6-11","High Total Cholesterol",54,0.54,52.406102697365,56.6359066164587
"2011-2012","Male","20-29","High Total Cholesterol",59.1,5.77,52.8548696661834,63.9496469694655
"2003-2004","Male","40-49","Obesity",85.1,2.37,82.7674254469108,92.3169484749902
"2011-2012","Male","30-39","Obesity",66.8,6.84,61.145168693224,71.1159789221827
"2013-2014","Male","12-19","High Total Cholesterol",85.7,3.88,83.9081308563938,89.911020592018
"2017-2018","Male","2-5","Hypertension",62.4,0.99,56.9119582092157,65.7170518940315
"2007-2008","Male","20-29","Obesity",25.5,2.98,23.2121450534323,30.0441893656971
"1999-2000","Female","20-29","High Total Cholesterol",65.3,5.62,63.4905732253799,72.0895464422181
"2011-2012","Male","60-69","Hypertension",45.6,3.92,39.4183059586445,48.320914893318
"2009-2010","Male","40-49","Hypertension",82.1,5.84,75.3828881071182,89.2726661651628
"2013-2014","Male","60-69","High Total Cholesterol",84.3,2.4,77.820097524859,91.3452292003902
"2005-2006","Male","40-49","High Total Cholesterol",44.5,3.42,39.1947774783475,49.3004135999363
"2009-2010","Male","20-29","Obesity",41.3,5.67,36.687950866716,47.0389641306363
"1999-2000","Male","50-59","Hypertension",54.8,5.59,53.0739009677898,62.7965266505023
"2003-2004","Male","60-69","Hypertension",64.5,1.97,61.4387360832188,70.1638655023417
"2005-2006","Female","30-39","Obesity",87.9,1.05,83.5975358172786,92.6422382629011
"1999-2000","Female","20-29","Obesity",43.5,4.18,37.5573143963702,47.0469508672832
"2007-2008","Male","50-59","High Total Cholesterol",28.9,4.59,22.005653939303,36.8887628233992
"2005-2006","Male","70 and over","High Total Cholesterol",74.9,1.1,72.3722859991016,77.9088086187607
"2001-2002","Female","20-29","Obesity",81.4,0.51,74.9650864483323,85.8038680224912
"2011-2012","Male","30-39","High Total Cholesterol",56.4,1.7,52.0900061902124,59.6220973988296
"2003-2004","Male","2-5","Obesity",26.7,4.86,23.4844737849664,28.5778148017591
"2017-2018","Female","6-11","Hypertension",40.7,5.53,36.464263554709,48.4130735681858
"2003-2004","Male","60-69","Obesity",86.2,7.12,79.3833053496666,88.2012302139076
"1999-2000","Female","50-59","Obesity",47.3,3.84,39.5778396789217,51.8295496576
"2011-2012","Male","30-39","Hypertension",25,7.07,21.2529678599676,27.7463672211161
"2009-2010","Female","30-39","High Total Cholesterol",38.7,3.26,31.8754462450044,46.5776564921718
"2005-2006","Male","20-29","High Total Cholesterol",21.1,0.53,15.3830983282765,28.6472795026144
"2007-2008","Male","40-49","Obesity",46.8,0.63,43.9808915452566,51.6755907115992
"2011-2012","Female","50-59","Hypertension",76.9,5.43,70.0476767804707,84.6123503480107
"2003-2004","Female","12-19","High Total Cholesterol",4.9,7.22,-1.39513317602687,10.9919607370161
"2001-2002","Male","20-29","Obesity",75.4,3.04,69.6623594671022,81.154514131695
"2013-2014","Female","70 and over","High Total Cholesterol",25.2,3.15,22.2505082162563,28.1397225982975
"2005-2006","Male","20-29","High Total Cholesterol",64.7,3.93,61.5296687819529,70.2374571465654
"2009-2010","Female","40-49","Hypertension",60.7,7,56.6184283431387,67.9044024441857
"2017-2018","Female","20-29","High Total Cholesterol",55.9,0.59,49.2397350398591,59.3217201101128
"2011-2012","Male","50-59","Obesity",56.7,1.26,50.4631300879875,60.5193661421537
"2009-2010","Female","12-19","Hypertension",54.8,5.05,47.2535712184152,57.9204883723985
"1999-2000","Male","60-69","High Total Cholesterol",61.9,2.08,60.3442311432213,67.917418049858
"2009-2010","Male","40-49","Obesity",88.3,2.59,85.6534412764711,91.3366553725908
"2013-2014","Female","6-11","High Total Cholesterol",75.9,6.53,70.3772956502857,78.03802590454
"2003-2004","Male","6-11","Hypertension",9.6,5.02,5.31985175542068,12.3479996900074
"2001-2002","Male","40-49","High Total Cholesterol",49,2.95,45.5665560737252,55.2999048101483
"2003-2004","Female","50-59","Hypertension",17.1,3.47,10.1255156039493,20.5150641683955
"1999-2000","Male","12-19","Hypertension",40.6,3.91,37.4678396060132,46.4434296632186
"2001-2002","Male","12-19","High Total Cholesterol",11.7,1.57,8.91878954430576,14.9338373523671
"2001-2002","Female","60-69","High Total Cholesterol",12.2,4.3,10.4731661761645,13.7736942120129
"2013-2014","Female","70 and over","Hypertension",75.4,4.91,73.6219756334089,81.4593393343734
"2017-2018","Female","70 and over","High Total Cholesterol",86,3.41,80.9307412747294,88.8551692113979
"2005-2006","Male","12-19","High Total Cholesterol",38.1,5.57,34.5823591089807,44.6673531724606
"2015-2016","Male","6-11","High Total Cholesterol",35.1,6.98,32.4602364145918,37.5903176074149
"2011-2012","Male","50-59","High Total Cholesterol",42,4.15,34.9301575063728,49.6460920352256
"2013-2014","Male","30-39","Obesity",40.7,3.55,33.0089495938038,47.5109998109285
"2003-2004","Female","6-11","Hypertension",86.8,5.5,84.7369506045477,88.3466063431231
"2009-2010","Female","12-19","High Total Cholesterol",67.5,2.37,62.0046310704201,73.6368801878998
"2009-2010","Female","6-11","Hypertension",27.5,2.75,23.3873271408956,33.4833241718588
"2013-2014","Female","12-19","High Total Cholesterol",45.7,1.39,43.0971651662141,48.5607312212698
"1999-2000","Female","40-49","High Total Cholesterol",88.1,6.8,81.1922753664199,92.037921213801
"2001-2002","Female","50-59","Hypertension",52.4,7.27,46.5586624643533,56.6039879274089
"2007-2008","Male","40-49","High Total Cholesterol",9.9,3.02,5.02835588690359,13.9672997849761
"2013-2014","Female","20-29","Hypertension",8.2,4.12,3.27642096816562,14.7863287434913
"2013-2014","Female","2-5","Hypertension",81.8,2.47,75.6549998624949,83.6271168537904
"2011-2012","Female","20-29","High Total Cholesterol",74.7,1.65,67.5683292958885,76.5532508453354
"2007-2008","Male","40-49","High Total Cholesterol",57.5,6.46,49.8392351707444,62.1647584341699
"1999-2000","Female","12-19","Hypertension",21.6,3.46,14.2796448542736,26.4275658730418
"2017-2018","Male","60-69","High Total Cholesterol",33.3,6.57,26.4950573861832,36.2226705515757
"2015-2016","Female","60-69","Obesity",15.3,4.85,12.811393910856,20.7711100123823
"2015-2016","Male","40-49","Hypertension",40.5,5.76,34.3017762344098,46.1534325944958
"2011-2012","Female","20-29","Hypertension",70.3,0.69,64.6126945337281,76.1255365070654
"2017-2018","Male","6-11","High Total Cholesterol",82.1,4.61,76.1261671777116,84.4638188033365
"2005-2006","Male","40-49","Hypertension",74.9,0.81,72.1979948766297,77.3268094890285
"2013-2014","Male","50-59","Obesity",86.2,7.11,83.8982442745939,94.1981508532073
"2005-2006","Male","2-5","High Total Cholesterol",35.8,3.64,30.6133517308161,38.9528902247082
"2003-2004","Female","60-69","Obesity",7.1,1.59,0.404416228667833,10.0110085305292
"2011-2012","Male","30-39","Obesity",28.2,4.46,21.2254406437743,34.0618010383798
"1999-2000","Female","30-39","Obesity",90,6.61,83.9101714789867,94.0278097490082
"2009-2010","Female","2-5","Hypertension",42,0.94,34.7347731421469,47.2112819963368
"2017-2018","Female","2-5","Hypertension",89.6,7.2,83.8310978112509,91.8122683015186
"2017-2018","Female","2-5","High Total Cholesterol",64.5,6.53,62.0298089914722,71.1715710100252
"1999-2000","Male","30-39","High Total Cholesterol",29.1,4.15,24.2017532047117,33.0214129329193
"2011-2012","Male","20-29","Obesity",82,6.36,78.7041236524237,88.9259455481078
"2007-2008","Male","40-49","Hypertension",44.3,5.55,42.1379372257041,52.1933286835672
"2009-2010","Female","6-11","Obesity",73.9,7.48,72.1990761331748,79.0224280480528
"2017-2018","Male","70 and over","Hypertension",25.1,5.6,19.9532727283891,28.8712173077744
"2009-2010","Male","12-19","High Total Cholesterol",86.4,4,79.9928295116173,94.1626403970644
"2015-2016","Female","12-19","High Total Cholesterol",43.3,6.69,35.9808577604825,49.5393879933516
"2013-2014","Male","6-11","Obesity",14.3,1.84,7.84765993973706,19.4465382813476
"1999-2000","Male","60-69","Hypertension",70,1.87,66.7426350382157,72.6288242518203
"2009-2010","Female","20-29","High Total Cholesterol",15.4,0.95,9.1490679792827,21.0718353197211
"2001-2002","Male","60-69","Hypertension",50.1,6.2,48.366888420796,57.6971308232984
"2013-2014","Female","2-5","Obesity",60.2,5.4,54.7135866131168,66.0344293208793
"2017-2018","Male","30-39","Obesity",53.1,0.81,45.3146894960897,59.0215172110125
"2013-2014","Female","40-49","Hypertension",46.9,6.94,41.355837378162,49.2265637174482
"2015-2016","Male","6-11","Hypertension",83.9,7.37,80.539163743821,86.9392018104903
"2013-2014","Female","30-39","Obesity",22.7,6.21,19.0217692675535,27.8129868177231
"2015-2016","Female","50-59","Obesity",4.2,2.49,-2.97405226931442,9.54231020440347
"2015-2016","Male","60-69","Hypertension",27.2,3.66,24.2139638301916,31.1328908413881
"2005-2006","Female","30-39","High Total Cholesterol",30.1,3.13,23.8309254996944,33.8712856256403
"1999-2000","Male","12-19","Obesity",81.3,0.92,77.3889593708562,86.564004021883
"2003-2004","Male","30-39","High Total Cholesterol",51.5,4.71,43.8164549292997,57.5143910729093
"2013-2014","Male","20-29","Obesity",14.7,2.79,6.76688896892592,19.4086953968974
"2001-2002","Female","40-49","Hypertension",21.9,1.24,17.2591139154742,24.7594329321058
"1999-2000","Female","20-29","High Total Cholesterol",10.4,0.51,4.91859106100164,14.1214385863626
"2015-2016","Male","60-69","High Total Cholesterol",77.4,3.27,73.417526174197,83.3095686490182
"2011-2012","Female","50-59","Hypertension",8.1,2.81,4.18742211293429,10.3848861552775
"2011-2012","Female","50-59","High Total Cholesterol",31.5,4.17,23.7704898482189,39.1315123697277
"2005-2006","Male","70 and over","High Total Cholesterol",46.5,3.18,40.9674231148092,49.0802462855354
"2011-2012","Female","40-49","Obesity",32,3.07,24.1008875118569,39.3283067493467
"2005-2006","Male","30-39","High Total Cholesterol",79.3,0.63,75.6565282315249,80.9098383720964
"2015-2016","Male","30-39","High Total Cholesterol",79.8,7.35,74.237796993996,85.3287914440269
"2005-2006","Male","12-19","Hypertension",81.4,4.35,74.0364522947697,86.8617052020039
"2017-2018","Male","2-5","High Total Cholesterol",72.4,0.76,67.2116739189718,77.9994733499829
"2015-2016","Female","40-49","Obesity",81.4,4.1,74.6785087536322,85.7464535756502
"2013-2014","Female","12-19","Hypertension",41.3,3.71,34.7880957184359,47.1114895717008
"2011-2012","Male","50-59","High Total Cholesterol",37.6,4.07,35.9397905257298,43.9055517383618
"2015-2016","Male","60-69","Hypertension",35.3,6.67,32.1709632059326,42.1008048593765
"2003-2004","Male","60-69","Hypertension",49,0.84,45.6920676754089,54.4625223588664
"1999-2000","Female","20-29","High Total Cholesterol",9.4,1.91,3.41047135912813,15.1264605022501
"2011-2012","Male","6-11","Obesity",65.4,0.87,63.4050582230324,68.5490540695377
"2003-2004","Male","20-29","Hypertension",24.1,3.61,21.5523176366929,30.3305215520319
"2011-2012","Male","40-49","Hypertension",76.5,1.36,71.7455556793138,79.8198156545404
"2017-2018","Female","50-59","Obesity",89.6,7.32,85.6101737964433,95.8983118016273
"2003-2004","Female","6-11","Hypertension",12.1,1.36,7.39636880755424,14.2287121175556
"2009-2010","Male","30-39","Obesity",45.2,0.72,38.5867140817456,50.5356288527139
"2011-2012","Female","2-5","High Total Cholesterol",62.5,3.96,55.8488774737343,65.42831198161
"2005-2006","Male","6-11","Hypertension",74.3,1.98,71.3521536610322,80.7684429015033
"2017-2018","Female","50-59","Obesity",69.6,3.51,67.311260439828,77.5530315897427
"1999-2000","Female","50-59","Hypertension",40.1,1.31,33.3832520039519,44.9999010768021
"2013-2014","Female","60-69","High Total Cholesterol",84.4,2.47,82.2285100276116,90.7703164668987
"2007-2008","Female","30-39","Hypertension",66.4,5.65,60.4005100870039,73.3863920478383
"2003-2004","Male","12-19","Obesity",32.3,2.46,28.2515994426329,34.5019466133788
"2007-2008","Male","50-59","High Total Cholesterol",44.7,1.85,37.1928486808203,48.372521423432
"2007-2008","Male","60-69","Hypertension",87,1.14,85.1503254501149,88.5875315900194
"2009-2010","Female","70 and over","High Total Cholesterol",82.5,5.26,74.5985950798495,87.7493454674259
"2015-2016","Male","60-69","High Total Cholesterol",22.8,2.28,16.0812666300451,26.0576983832987
"1999-2000","Female","6-11","Hypertension",29.7,2.31,26.3636291053146,34.5341687216889
"2005-2006","Male","70 and over","Obesity",33.2,1.54,29.5333851223579,39.1637465267442
"2003-2004","Female","50-59","Hypertension",6.8,3.58,1.06220868260134,9.21894860763569
"2007-2008","Female","50-59","Hypertension",86.8,5.16,84.7438693601405,92.2789383723401
"2001-2002","Male","20-29","High Total Cholesterol",74,6.13,66.3869969093939,81.2505642595934
"1999-2000","Female","6-11","High Total Cholesterol",61.7,6.99,57.8853170489194,64.9354112148751
"2005-2006","Male","2-5","Hypertension",38.3,4.38,33.0372384516057,40.596443530824
"2005-2006","Female","50-59","High Total Cholesterol",26.2,5.14,19.8008331292542,29.3080298569286
"2017-2018","Male","2-5","High Total Cholesterol",83.8,0.68,80.6319951004814,91.1764912182232
"2017-2018","Female","20-29","Obesity",34.9,6.84,27.5829969653627,40.3677621176234
"2007-2008","Male","20-29","Obesity",50.8,2.57,48.2649155634688,53.227257978823
"2009-2010","Male","40-49","Obesity",48.3,2.71,40.872075842414,54.3943904191954
"2005-2006","Male","20-29","Hypertension",83.6,5.84,76.1244860410457,86.1596908392617
"2003-2004","Female","70 and over","High Total Cholesterol",46.7,1.13,40.9551361157093,54.6883268781705
"2003-2004","Female","2-5","Hypertension",58.4,7.28,50.4303426487371,65.1347767346073
"1999-2000","Male","70 and over","Obesity",23.4,6.34,17.5948652580613,27.6368437540717
"2011-2012","Female","60-69","High Total Cholesterol",34.6,1.43,32.1413764114492,39.1382610481465
"2007-2008","Male","2-5","Hypertension",80.7,1.35,74.5092786914203,84.7345149987843
"2011-2012","Female","2-5","High Total Cholesterol",69.6,3.37,64.5639456523582,71.311281776661
"2015-2016","Female","50-59","Hypertension",72.2,1.28,64.3380503288237,77.9923274530331
"2015-2016","Female","30-39","High Total Cholesterol",31.1,3.77,29.2201887296047,38.6686253382592
"2013-2014","Female","2-5","High Total Cholesterol",11,5.95,8.57906066556461,14.1774254462216
"1999-2000","Male","60-69","Obesity",86,2.12,81.0694799292833,87.54168880824
"2007-2008","Male","30-39","Hypertension",42.2,3.21,36.2505256024189,49.0437722841045
"2007-2008","Male","30-39","Obesity",51.6,1.08,47.6342039603274,54.6879729258595
"2013-2014","Male","30-39","High Total Cholesterol",17.9,1.8,14.0653919803211,20.0393323206576
"2001-2002","Female","2-5","High Total Cholesterol",4.8,7.27,0.0812549363588912,6.71738357837312
"2009-2010","Female","50-59","Obesity",21.4,5.28,14.114592564851,26.5115819338011
"2001-2002","Female","50-59","Hypertension",30.7,7.01,22.7123284055153,34.052685393882
"2005-2006","Female","20-29","High Total Cholesterol",53.7,4.64,45.9525619792286,55.3714745867066
"2017-2018","Female","40-49","Obesity",7.5,1.06,5.47379630536307,12.4796601588605
"2011-2012","Male","6-11","Hypertension",24.7,6.42,22.9763534841361,30.8446045455523
"2009-2010","Female","2-5","Hypertension",4.3,0.71,-1.53660826610867,8.20085987024941
"2013-2014","Female","6-11","Obesity",22,6.2,20.1806068606675,26.1739531751955
"1999-2000","Male","2-5","High Total Cholesterol",48.6,3.24,40.817273841612,51.9287346486468
"2013-2014","Male","70 and over","Hypertension",31.7,1.5,28.2966963522369,39.2964800661895
"2007-2008","Male","12-19","Obesity",67.5,5.17,64.2411498533329,71.8271485421574
"2015-2016","Female","20-29","Obesity",86.1,4.83,81.4415320715867,88.5274743389105
"2013-2014","Male","40-49","High Total Cholesterol",22.4,3.64,19.5590795145603,27.8396422527498
"2017-2018","Female","40-49","High Total Cholesterol",88,6.15,85.0122004991863,90.2373473721091
"2005-2006","Male","70 and over","Obesity",11,6.59,6.12477626651525,13.774425009382
"2015-2016","Female","70 and over","High Total Cholesterol",67.1,7.4,63.2212854230544,74.5028433965286
"2015-2016","Male","12-19","High Total Cholesterol",26.8,3.32,19.4285891659791,28.4234995616833
"2005-2006","Male","70 and over","High Total Cholesterol",27.1,2.96,24.0293048292166,32.1614146577427
"2003-2004","Male","60-69","Obesity",8.3,1.35,4.42261024210602,10.9522097924026
"2011-2012","Male","40-49","Hypertension",22.8,7.43,14.9242832557764,24.5563826689729
"2005-2006","Male","50-59","Hypertension",69,7.05,66.5087825526716,70.6848067148821
"2013-2014","Female","20-29","Hypertension",33,7.07,30.2311666237656,39.4344762595138
"2013-2014","Female","60-69","High Total Cholesterol",65.4,3.35,60.4672104404075,71.6930755766574
"2007-2008","Female","30-39","High Total Cholesterol",20.7,5.91,16.5439913426992,23.5235625111265
"2007-2008","Male","6-11","High Total Cholesterol",7.8,3.22,6.15826720774639,15.6002490402432
"2013-2014","Male","40-49","Obesity",66.2,0.73,61.9348352669505,71.9663444215432
"2009-2010","Female","70 and over","Hypertension",26.2,3.27,24.2447067754576,28.5190580157097
"2005-2006","Male","40-49","High Total Cholesterol",31.7,7.21,24.420003596507,38.7436363447225
"2003-2004","Female","12-19","Obesity",77.2,4.16,70.1011414201232,79.9217459174572
"2017-2018","Male","60-69","Hypertension",3.5,5.22,0.078753620153293,8.17920651112217
"2011-2012","Male","12-19","High Total Cholesterol",40.7,0.57,34.8006914543686,43.439171253168
"2007-2008","Male","6-11","High Total Cholesterol",13.3,4.04,11.1392019416206,19.5176360022277
"2013-2014","Female","40-49","Obesity",46.8,5.77,45.2034574768739,53.4009778407169
"2015-2016","Male","60-69","Hypertension",87.9,3.66,80.7385172040435,95.5496724425815
"2017-2018","Female","50-59","High Total Cholesterol",60.6,5.85,54.3446920839138,65.4312673962209
"2003-2004","Male","20-29","Hypertension",79.9,4.44,72.4713366710115,83.2245677703526
"2017-2018","Female","2-5","Obesity",66.9,5.65,65.3311713497154,72.8691444342025
"2013-2014","Male","60-69","High Total Cholesterol",47,5.61,45.2399127795361,49.725080227945
"2003-2004","Female","6-11","High Total Cholesterol",80.1,2.88,76.4715826488333,86.6686074852711
"2001-2002","Male","20-29","Obesity",46.1,5.38,42.088061272772,52.3516640201211
"2017-2018","Male","40-49","High Total Cholesterol",70.9,4.28,65.3848384545185,76.2861472676508
"2013-2014","Female","6-11","Hypertension",47.1,6.65,42.6075337830931,52.3188938070321
"2017-2018","Female","2-5","Obesity",10.3,1.03,8.30224528159015,16.1736072061583
"2011-2012","Male","30-39","Hypertension",50.7,3.14,46.0564566331916,56.0119865155313
"2011-2012","Male","12-19","High Total Cholesterol",34.2,4.98,26.8661767229671,36.4962692583678
"2009-2010","Male","40-49","Hypertension",49.8,0.68,46.12376298483,55.6311430002796
"1999-2000","Female","12-19","High Total Cholesterol",56.8,1.95,49.5298025762429,61.3898771769134
"2005-2006","Male","70 and over","Obesity",24.5,4.94,21.7664655594854,29.7979110087035
"1999-2000","Female","20-29","Obesity",42.7,6.84,39.5757562773535,45.9479352590162
"2007-2008","Female","12-19","Hypertension",11.9,3.97,4.82159126291517,17.963554423512
"2017-2018","Male","20-29","High Total Cholesterol",4.3,1.74,-2.84759476901963,6.42384070653934
"2017-2018","Female","40-49","High Total Cholesterol",11.4,5.78,7.46558599043638,13.6145595228067
"2001-2002","Female","40-49","Obesity",22.5,0.64,17.2435846020235,24.7878322970355
"2011-2012","Female","50-59","Obesity",15.6,4.84,10.9225046969019,21.4446195037104
"2013-2014","Male","6-11","High Total Cholesterol",76.5,4.48,70.1757621145807,83.3675533924252
"2003-2004","Female","60-69","High Total Cholesterol",39.1,1.56,36.133541591838,46.9423148558941
"2001-2002","Female","20-29","High Total Cholesterol",52,0.86,45.6322080645477,54.1285940587986
"2009-2010","Female","2-5","Obesity",54,0.79,47.1383546713041,58.7282056836411
"2003-2004","Female","60-69","High Total Cholesterol",9.1,1.74,6.95296803701203,12.8294074412202
"2015-2016","Female","40-49","Obesity",70,2.21,66.7068361132406,73.6976767103188
"2011-2012","Female","6-11","Hypertension",53.9,6.03,52.2610509557184,60.8410799621837
"2015-2016","Male","70 and over","Hypertension",70.2,1.72,64.8244207156124,76.2706268950598
"2009-2010","Female","70 and over","Hypertension",41,7.29,33.0891514871037,46.5886314339004
"2013-2014","Male","12-19","Hypertension",58,3.94,51.0050787309883,65.3553648421075
"2015-2016","Male","6-11","Obesity",68.2,3.27,62.855288630398,74.5289241335588
